"RMS Level -> Normalize","KB5000_7 Any Frequency",,
Ch1,
X,Y,
Hz,dBSPL,Hz,dBSPL
13.019114, 4.078
13.113455, 4.079
13.208481, 4.080
13.304195, 4.080
13.400603, 4.081
13.497709, 4.082
13.595519, 4.083
13.694038, 4.083
13.793270, 4.084
13.893222, 4.085
13.993898, 4.086
14.095304, 4.086
14.197444, 4.087
14.300325, 4.088
14.403951, 4.088
14.508328, 4.089
14.613461, 4.090
14.719356, 4.090
14.826019, 4.091
14.933454, 4.092
15.041668, 4.092
15.150666, 4.093
15.260454, 4.094
15.371038, 4.094
15.482422, 4.095
15.594614, 4.096
15.707619, 4.097
15.821443, 4.097
15.936092, 4.098
16.051572, 4.099
16.167888, 4.100
16.285047, 4.102
16.403055, 4.103
16.521919, 4.104
16.641643, 4.105
16.762235, 4.107
16.883701, 4.109
17.006048, 4.110
17.129280, 4.112
17.253406, 4.114
17.378432, 4.116
17.504363, 4.119
17.631207, 4.121
17.758970, 4.124
17.887659, 4.127
18.017280, 4.129
18.147841, 4.132
18.279347, 4.136
18.411807, 4.139
18.545226, 4.142
18.679613, 4.146
18.814973, 4.150
18.951314, 4.153
19.088643, 4.157
19.226967, 4.161
19.366294, 4.166
19.506630, 4.170
19.647983, 4.174
19.790360, 4.179
19.933770, 4.183
20.078218, 4.188
20.223713, 4.193
20.370262, 4.198
20.517874, 4.203
20.666555, 4.208
20.816313, 4.213
20.967156, 4.218
21.119093, 4.223
21.272131, 4.228
21.426277, 4.233
21.581541, 4.238
21.737930, 4.243
21.895452, 4.248
22.054115, 4.254
22.213928, 4.259
22.374900, 4.264
22.537038, 4.269
22.700350, 4.274
22.864846, 4.279
23.030534, 4.283
23.197423, 4.288
23.365521, 4.293
23.534837, 4.298
23.705381, 4.302
23.877160, 4.307
24.050183, 4.311
24.224461, 4.315
24.400001, 4.319
24.576814, 4.323
24.754907, 4.327
24.934292, 4.330
25.114976, 4.334
25.296969, 4.337
25.480282, 4.341
25.664922, 4.344
25.850901, 4.346
26.038227, 4.349
26.226911, 4.351
26.416962, 4.354
26.608390, 4.356
26.801205, 4.358
26.995418, 4.359
27.191038, 4.361
27.388075, 4.362
27.586541, 4.363
27.786444, 4.364
27.987796, 4.365
28.190607, 4.365
28.394888, 4.365
28.600649, 4.365
28.807901, 4.365
29.016655, 4.365
29.226922, 4.364
29.438712, 4.363
29.652037, 4.362
29.866908, 4.360
30.083336, 4.359
30.301332, 4.357
30.520908, 4.355
30.742075, 4.353
30.964845, 4.350
31.189229, 4.347
31.415239, 4.344
31.642887, 4.341
31.872184, 4.338
32.103143, 4.334
32.335776, 4.330
32.570094, 4.326
32.806110, 4.322
33.043837, 4.317
33.283286, 4.312
33.524471, 4.307
33.767403, 4.302
34.012095, 4.296
34.258561, 4.291
34.506813, 4.285
34.756863, 4.279
35.008726, 4.272
35.262413, 4.266
35.517939, 4.259
35.775317, 4.252
36.034560, 4.245
36.295681, 4.237
36.558695, 4.230
36.823614, 4.222
37.090453, 4.214
37.359226, 4.205
37.629946, 4.197
37.902628, 4.188
38.177286, 4.179
38.453935, 4.170
38.732588, 4.161
39.013260, 4.151
39.295966, 4.142
39.580721, 4.132
39.867539, 4.122
40.156436, 4.112
40.447426, 4.101
40.740524, 4.090
41.035747, 4.080
41.333109, 4.069
41.632626, 4.057
41.934313, 4.046
42.238186, 4.034
42.544262, 4.023
42.852555, 4.011
43.163082, 3.999
43.475860, 3.986
43.790904, 3.974
44.108231, 3.961
44.427857, 3.948
44.749800, 3.935
45.074075, 3.922
45.400700, 3.909
45.729693, 3.895
46.061069, 3.881
46.394846, 3.867
46.731042, 3.853
47.069675, 3.839
47.410761, 3.825
47.754319, 3.810
48.100367, 3.796
48.448922, 3.781
48.800002, 3.766
49.153627, 3.751
49.509815, 3.735
49.868583, 3.720
50.229952, 3.704
50.593939, 3.689
50.960563, 3.673
51.329844, 3.657
51.701802, 3.641
52.076454, 3.625
52.453822, 3.608
52.833924, 3.592
53.216780, 3.576
53.602411, 3.559
53.990836, 3.542
54.382076, 3.526
54.776151, 3.509
55.173081, 3.492
55.572888, 3.475
55.975592, 3.458
56.381214, 3.441
56.789776, 3.423
57.201298, 3.406
57.615802, 3.389
58.033310, 3.371
58.453843, 3.354
58.877424, 3.336
59.304074, 3.318
59.733816, 3.300
60.166672, 3.283
60.602664, 3.265
61.041816, 3.247
61.484150, 3.228
61.929690, 3.210
62.378458, 3.192
62.830478, 3.173
63.285773, 3.155
63.744368, 3.136
64.206286, 3.117
64.671551, 3.098
65.140188, 3.079
65.612221, 3.060
66.087674, 3.040
66.566573, 3.021
67.048941, 3.001
67.534806, 2.981
68.024191, 2.960
68.517122, 2.940
69.013625, 2.919
69.513726, 2.899
70.017452, 2.877
70.524827, 2.856
71.035879, 2.835
71.550634, 2.813
72.069120, 2.791
72.591362, 2.768
73.117389, 2.746
73.647228, 2.723
74.180906, 2.700
74.718451, 2.676
75.259892, 2.652
75.805256, 2.628
76.354572, 2.604
76.907869, 2.579
77.465175, 2.554
78.026520, 2.529
78.591932, 2.503
79.161442, 2.477
79.735078, 2.451
80.312871, 2.425
80.894852, 2.398
81.481049, 2.371
82.071494, 2.343
82.666218, 2.315
83.265252, 2.287
83.868626, 2.259
84.476373, 2.230
85.088523, 2.201
85.705110, 2.172
86.326164, 2.142
86.951719, 2.112
87.581807, 2.082
88.216461, 2.051
88.855714, 2.020
89.499599, 1.989
90.148150, 1.958
90.801401, 1.926
91.459385, 1.894
92.122138, 1.862
92.789693, 1.830
93.462085, 1.797
94.139350, 1.764
94.821522, 1.731
95.508638, 1.698
96.200733, 1.664
96.897843, 1.630
97.600005, 1.596
98.307255, 1.562
99.019630, 1.528
99.737167, 1.493
100.459903, 1.459
101.187877, 1.424
101.921126, 1.389
102.659689, 1.354
103.403603, 1.318
104.152908, 1.283
104.907643, 1.248
105.667847, 1.212
106.433560, 1.176
107.204821, 1.141
107.981672, 1.105
108.764152, 1.069
109.552301, 1.033
110.346163, 0.997
111.145776, 0.961
111.951184, 0.925
112.762429, 0.889
113.579552, 0.853
114.402596, 0.817
115.231605, 0.781
116.066620, 0.745
116.907687, 0.709
117.754848, 0.673
118.608148, 0.637
119.467632, 0.602
120.333344, 0.566
121.205329, 0.530
122.083632, 0.494
122.968301, 0.459
123.859380, 0.423
124.756916, 0.388
125.660956, 0.353
126.571547, 0.317
127.488736, 0.282
128.412572, 0.247
129.343103, 0.212
130.280376, 0.177
131.224442, 0.143
132.175348, 0.108
133.133145, 0.074
134.097883, 0.040
135.069611, 0.006
136.048381, -0.028
137.034244, -0.062
138.027251, -0.095
139.027453, -0.129
140.034903, -0.162
141.049654, -0.195
142.071758, -0.228
143.101268, -0.261
144.138239, -0.293
145.182724, -0.325
146.234778, -0.357
147.294456, -0.389
148.361812, -0.421
149.436903, -0.453
150.519784, -0.484
151.610513, -0.515
152.709145, -0.546
153.815738, -0.576
154.930350, -0.607
156.053040, -0.637
157.183864, -0.667
158.322883, -0.696
159.470156, -0.726
160.625743, -0.755
161.789703, -0.784
162.962098, -0.813
164.142988, -0.841
165.332436, -0.869
166.530503, -0.897
167.737252, -0.925
168.952745, -0.952
170.177046, -0.979
171.410219, -1.006
172.652329, -1.032
173.903438, -1.058
175.163614, -1.084
176.432922, -1.109
177.711428, -1.135
178.999198, -1.159
180.296300, -1.183
181.602801, -1.207
182.918770, -1.231
184.244275, -1.254
185.579385, -1.277
186.924170, -1.299
188.278699, -1.321
189.643044, -1.342
191.017276, -1.363
192.401466, -1.383
193.795686, -1.403
195.200010, -1.422
196.614510, -1.441
198.039259, -1.459
199.474333, -1.476
200.919807, -1.493
202.375754, -1.510
203.842253, -1.526
205.319378, -1.541
206.807206, -1.556
208.305817, -1.570
209.815286, -1.583
211.335695, -1.596
212.867120, -1.608
214.409643, -1.619
215.963344, -1.630
217.528303, -1.640
219.104603, -1.649
220.692325, -1.658
222.291553, -1.665
223.902369, -1.673
225.524858, -1.679
227.159104, -1.685
228.805192, -1.690
230.463209, -1.695
232.133240, -1.699
233.815374, -1.702
235.509696, -1.705
237.216297, -1.707
238.935264, -1.708
240.666687, -1.708
242.410657, -1.708
244.167265, -1.708
245.936601, -1.706
247.718759, -1.704
249.513832, -1.702
251.321912, -1.699
253.143094, -1.695
254.977473, -1.691
256.825145, -1.687
258.686206, -1.681
260.560753, -1.676
262.448883, -1.669
264.350696, -1.663
266.266290, -1.656
268.195765, -1.648
270.139222, -1.640
272.096763, -1.632
274.068488, -1.623
276.054501, -1.614
278.054906, -1.604
280.069806, -1.594
282.099308, -1.584
284.143516, -1.574
286.202537, -1.563
288.276478, -1.552
290.365448, -1.540
292.469556, -1.529
294.588911, -1.517
296.723624, -1.505
298.873805, -1.493
301.039568, -1.480
303.221025, -1.468
305.418290, -1.455
307.631476, -1.442
309.860701, -1.429
312.106079, -1.416
314.367729, -1.403
316.645767, -1.389
318.940312, -1.376
321.251485, -1.362
323.579406, -1.349
325.924196, -1.335
328.285977, -1.321
330.664872, -1.307
333.061006, -1.294
335.474504, -1.280
337.905490, -1.266
340.354093, -1.252
342.820439, -1.238
345.304657, -1.225
347.806877, -1.211
350.327229, -1.197
352.865845, -1.183
355.422856, -1.169
357.998396, -1.156
360.592600, -1.142
363.205603, -1.128
365.837541, -1.115
368.488550, -1.101
371.158770, -1.087
373.848340, -1.074
376.557399, -1.061
379.286089, -1.047
382.034552, -1.034
384.802932, -1.020
387.591373, -1.007
390.400020, -0.994
393.229019, -0.981
396.078519, -0.968
398.948667, -0.955
401.839613, -0.941
404.751509, -0.928
407.684505, -0.916
410.638755, -0.903
413.614413, -0.890
416.611633, -0.877
419.630573, -0.864
422.671389, -0.851
425.734240, -0.838
428.819286, -0.826
431.926687, -0.813
435.056606, -0.800
438.209206, -0.788
441.384650, -0.775
444.583105, -0.763
447.804738, -0.750
451.049715, -0.737
454.318208, -0.725
457.610385, -0.712
460.926418, -0.700
464.266481, -0.687
467.630747, -0.675
471.019392, -0.662
474.432593, -0.650
477.870527, -0.638
481.333374, -0.625
484.821314, -0.613
488.334529, -0.601
491.873203, -0.589
495.437519, -0.576
499.027663, -0.564
502.643823, -0.552
506.286188, -0.540
509.954946, -0.528
513.650290, -0.516
517.372411, -0.504
521.121505, -0.493
524.897766, -0.481
528.701392, -0.470
532.532580, -0.458
536.391531, -0.447
540.278445, -0.436
544.193525, -0.425
548.136976, -0.414
552.109002, -0.403
556.109812, -0.392
560.139613, -0.382
564.198615, -0.371
568.287031, -0.361
572.405073, -0.351
576.552956, -0.341
580.730897, -0.331
584.939112, -0.322
589.177822, -0.313
593.447247, -0.303
597.747611, -0.294
602.079136, -0.286
606.442050, -0.277
610.836579, -0.269
615.262953, -0.260
619.721402, -0.253
624.212158, -0.245
628.735457, -0.237
633.291533, -0.230
637.880625, -0.223
642.502971, -0.216
647.158812, -0.209
651.848392, -0.202
656.571954, -0.196
661.329745, -0.189
666.122013, -0.183
670.949008, -0.178
675.810981, -0.172
680.708186, -0.166
685.640878, -0.161
690.609314, -0.156
695.613754, -0.151
700.654458, -0.146
705.731689, -0.141
710.845712, -0.136
715.996793, -0.132
721.185201, -0.128
726.411206, -0.123
731.675081, -0.119
736.977100, -0.115
742.317540, -0.111
747.696679, -0.107
753.114797, -0.103
758.572178, -0.099
764.069104, -0.096
769.605864, -0.092
775.182745, -0.088
780.800039, -0.084
786.458038, -0.081
792.157037, -0.077
797.897334, -0.073
803.679227, -0.069
809.503018, -0.065
815.369010, -0.061
821.277510, -0.057
827.228826, -0.052
833.223267, -0.048
839.261146, -0.043
845.342778, -0.038
851.468480, -0.033
857.638572, -0.028
863.853375, -0.022
870.113212, -0.017
876.418411, -0.011
882.769300, -0.004
889.166211, 0.002
895.609475, 0.009
902.099431, 0.016
908.636415, 0.024
915.220769, 0.032
921.852836, 0.040
928.532962, 0.049
935.261495, 0.058
942.038785, 0.068
948.865186, 0.078
955.741055, 0.089
962.666748, 0.100
969.642628, 0.111
976.669058, 0.123
983.746405, 0.136
990.875037, 0.149
998.055326, 0.163
1005.287646, 0.177
1012.572375, 0.192
1019.909892, 0.207
1027.300579, 0.223
1034.744823, 0.240
1042.243010, 0.257
1049.795533, 0.275
1057.402784, 0.294
1065.065160, 0.313
1072.783062, 0.333
1080.556890, 0.354
1088.387051, 0.375
1096.273952, 0.397
1104.218005, 0.420
1112.219624, 0.444
1120.279226, 0.468
1128.397231, 0.493
1136.574062, 0.519
1144.810146, 0.546
1153.105913, 0.574
1161.461793, 0.602
1169.878224, 0.631
1178.355644, 0.661
1186.894495, 0.692
1195.495222, 0.724
1204.158273, 0.757
1212.884100, 0.790
1221.673158, 0.824
1230.525906, 0.859
1239.442803, 0.895
1248.424317, 0.932
1257.470914, 0.970
1266.583067, 1.008
1275.761250, 1.047
1285.005942, 1.087
1294.317624, 1.128
1303.696784, 1.170
1313.143908, 1.212
1322.659490, 1.256
1332.244026, 1.300
1341.898015, 1.345
1351.621961, 1.391
1361.416371, 1.437
1371.281756, 1.484
1381.218628, 1.532
1391.227508, 1.581
1401.308916, 1.630
1411.463378, 1.681
1421.691424, 1.732
1431.993586, 1.783
1442.370401, 1.835
1452.822412, 1.888
1463.350162, 1.942
1473.954201, 1.996
1484.635080, 2.051
1495.393358, 2.106
1506.229595, 2.162
1517.144355, 2.219
1528.138209, 2.276
1539.211728, 2.333
1550.365491, 2.391
1561.600078, 2.450
1572.916076, 2.509
1584.314074, 2.569
1595.794667, 2.629
1607.358453, 2.689
1619.006035, 2.750
1630.738020, 2.812
1642.555020, 2.873
1654.457651, 2.935
1666.446533, 2.998
1678.522292, 3.060
1690.685556, 3.123
1702.936961, 3.187
1715.277144, 3.251
1727.706749, 3.314
1740.226424, 3.379
1752.836822, 3.443
1765.538601, 3.508
1778.332421, 3.573
1791.218951, 3.638
1804.198862, 3.703
